No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,1610372,55,0.00,39.44,57.60,39.44,0.00,75.07
2,1610612,55,36.43,13.31,39.32,13.31,36.43,7.04
3,1610852,55,11.02,31.53,52.07,31.53,11.02,11.05
4,1611092,55,27.90,19.43,43.60,19.43,27.90,34.31
5,1611332,55,15.28,28.48,49.93,28.48,15.28,41.25
6,1611572,55,24.88,21.59,45.12,21.59,24.88,42.91
7,1611812,55,17.42,26.95,48.86,26.95,17.42,47.31
8,1612052,55,22.93,23.00,46.10,23.00,22.93,91.01
9,1612292,55,18.31,26.31,48.42,26.31,18.31,0.00
10,1612532,55,22.57,23.25,46.28,23.25,22.57,17.60
11,1612772,55,20.26,24.91,47.44,24.91,20.26,31.57
12,1613012,55,22.04,23.63,46.54,23.63,22.04,49.17
13,1613252,55,19.02,25.80,48.06,25.80,19.02,41.35
14,1613492,55,21.51,24.02,46.81,24.02,21.51,50.73
15,1613732,55,19.02,25.80,48.06,25.80,19.02,91.20
16,1613972,55,22.22,23.51,46.45,23.51,22.22,5.28
17,1614212,55,21.15,24.27,46.99,24.27,21.15,20.63
18,1614452,55,19.91,25.16,47.61,25.16,19.91,36.27
19,1614692,55,21.15,24.27,46.99,24.27,21.15,39.88
20,1614932,55,19.73,25.29,47.70,25.29,19.73,41.45
21,1615172,55,19.19,25.67,47.97,25.67,19.19,47.51
22,1615412,55,20.44,24.78,47.35,24.78,20.44,75.56
23,1615652,55,19.73,25.29,47.70,25.29,19.73,96.97
24,1615892,55,20.79,24.53,47.17,24.53,20.79,5.57
25,1616132,55,20.79,24.53,47.17,24.53,20.79,19.75
26,1616372,55,20.44,24.78,47.35,24.78,20.44,34.21
27,1616612,55,20.08,25.04,47.52,25.04,20.08,43.79
28,1616852,55,21.33,24.14,46.90,24.14,21.33,60.22
29,1617092,55,18.48,26.18,48.33,26.18,18.48,73.22
30,1617332,55,21.51,24.02,46.81,24.02,21.51,59.34
31,1617572,55,20.44,24.78,47.35,24.78,20.44,0.00
32,1617812,55,22.93,23.00,46.10,23.00,22.93,19.94
33,1618052,55,21.15,24.27,46.99,24.27,21.15,37.54
34,1618292,55,22.04,23.63,46.54,23.63,22.04,48.68
35,1618532,55,21.33,24.14,46.90,24.14,21.33,47.90
36,1618772,55,20.08,25.04,47.52,25.04,20.08,91.89
37,1619012,55,22.93,23.00,46.10,23.00,22.93,9.58
38,1619252,55,20.62,24.65,47.26,24.65,20.62,26.10
39,1619492,55,22.93,23.00,46.10,23.00,22.93,46.53
40,1619732,55,20.08,25.04,47.52,25.04,20.08,42.82
41,1619972,55,22.04,23.63,46.54,23.63,22.04,77.52
42,1620212,55,22.04,23.63,46.54,23.63,22.04,0.59
43,1620452,55,21.15,24.27,46.99,24.27,21.15,17.11
44,1620692,55,22.04,23.63,46.54,23.63,22.04,36.36
45,1620932,55,22.22,23.51,46.45,23.51,22.22,37.63
46,1621172,55,20.26,24.91,47.44,24.91,20.26,70.48
47,1621412,55,22.93,23.00,46.10,23.00,22.93,91.89
48,1621652,55,21.15,24.27,46.99,24.27,21.15,7.72
49,1621892,55,21.33,24.14,46.90,24.14,21.33,25.22
50,1622132,55,22.57,23.25,46.28,23.25,22.57,43.11
51,1622372,55,21.51,24.02,46.81,24.02,21.51,41.15
52,1622612,55,20.44,24.78,47.35,24.78,20.44,79.67
53,1622852,55,22.75,23.12,46.19,23.12,22.75,0.00
54,1623092,55,20.97,24.40,47.08,24.40,20.97,17.20
55,1623332,55,22.39,23.38,46.36,23.38,22.39,36.56
56,1623572,55,20.97,24.40,47.08,24.40,20.97,53.37
57,1623812,55,21.33,24.14,46.90,24.14,21.33,72.53
58,1624052,55,22.57,23.25,46.28,23.25,22.57,91.69
59,1624292,55,20.08,25.04,47.52,25.04,20.08,6.74
60,1624532,55,22.75,23.12,46.19,23.12,22.75,26.30
61,1624772,55,21.68,23.89,46.72,23.89,21.68,43.99
62,1625012,55,20.79,24.53,47.17,24.53,20.79,57.58
63,1625252,55,21.68,23.89,46.72,23.89,21.68,75.46
64,1625492,55,21.33,24.14,46.90,24.14,21.33,96.48
65,1625732,55,22.39,23.38,46.36,23.38,22.39,16.03
66,1625972,55,21.68,23.89,46.72,23.89,21.68,33.24
67,1626212,55,22.04,23.63,46.54,23.63,22.04,36.46
68,1626452,55,22.04,23.63,46.54,23.63,22.04,59.04
69,1626692,55,20.79,24.53,47.17,24.53,20.79,58.94
70,1626932,55,22.04,23.63,46.54,23.63,22.04,5.57
71,1627172,55,22.22,23.51,46.45,23.51,22.22,24.83
72,1627412,55,21.51,24.02,46.81,24.02,21.51,43.60
73,1627652,55,21.33,24.14,46.90,24.14,21.33,52.59
74,1627892,55,21.86,23.76,46.63,23.76,21.86,57.38
75,1628132,55,20.44,24.78,47.35,24.78,20.44,0.00
76,1628372,55,23.10,22.87,46.01,22.87,23.10,17.79
77,1628612,55,20.79,24.53,47.17,24.53,20.79,34.80
78,1628852,55,22.75,23.12,46.19,23.12,22.75,44.67
79,1629092,55,20.44,24.78,47.35,24.78,20.44,74.00
80,1629332,55,20.97,24.40,47.08,24.40,20.97,62.07
81,1629572,55,19.55,25.42,47.79,25.42,19.55,100.00
82,1629812,55,20.26,24.91,47.44,24.91,20.26,7.33
83,1630052,55,20.62,24.65,47.26,24.65,20.62,20.63
84,1630292,55,20.79,24.53,47.17,24.53,20.79,34.70
85,1630532,55,21.15,24.27,46.99,24.27,21.15,48.29
86,1630772,55,19.91,25.16,47.61,25.16,19.91,55.91
87,1631012,55,20.08,25.04,47.52,25.04,20.08,73.90
88,1631252,55,20.08,25.04,47.52,25.04,20.08,82.50
89,1631492,55,21.51,24.02,46.81,24.02,21.51,2.93
90,1631732,55,21.86,23.76,46.63,23.76,21.86,17.20
91,1631972,55,22.04,23.63,46.54,23.63,22.04,35.58
92,1632212,55,21.68,23.89,46.72,23.89,21.68,37.93
93,1632452,55,22.04,23.63,46.54,23.63,22.04,56.01
94,1632692,55,21.33,24.14,46.90,24.14,21.33,92.67
95,1632932,55,22.39,23.38,46.36,23.38,22.39,10.17
96,1633172,55,21.68,23.89,46.72,23.89,21.68,29.81
97,1633412,55,22.22,23.51,46.45,23.51,22.22,35.58
98,1633652,55,20.62,24.65,47.26,24.65,20.62,65.40
99,1633892,55,22.04,23.63,46.54,23.63,22.04,86.02
100,1634132,55,21.68,23.89,46.72,23.89,21.68,3.42
101,1634372,55,22.04,23.63,46.54,23.63,22.04,24.14
102,1634612,55,20.62,24.65,47.26,24.65,20.62,39.20
103,1634852,55,22.39,23.38,46.36,23.38,22.39,39.20
104,1635092,55,19.37,25.54,47.88,25.54,19.37,71.36
105,1635332,55,22.93,23.00,46.10,23.00,22.93,91.10
106,1635572,55,20.97,24.40,47.08,24.40,20.97,7.04
107,1635812,55,22.93,23.00,46.10,23.00,22.93,27.76
108,1636052,55,21.51,24.02,46.81,24.02,21.51,46.14
109,1636292,55,21.51,24.02,46.81,24.02,21.51,53.37
110,1636532,55,22.39,23.38,46.36,23.38,22.39,83.19
111,1636772,55,20.44,24.78,47.35,24.78,20.44,1.96
112,1637012,55,22.93,23.00,46.10,23.00,22.93,21.80
113,1637252,55,21.68,23.89,46.72,23.89,21.68,38.91
114,1637492,55,22.04,23.63,46.54,23.63,22.04,51.61
115,1637732,55,22.04,23.63,46.54,23.63,22.04,51.81
116,1637972,55,20.97,24.40,47.08,24.40,20.97,89.44
117,1638212,55,23.28,22.74,45.92,22.74,23.28,16.32
118,1638452,55,20.62,24.65,47.26,24.65,20.62,32.06
119,1638692,55,22.75,23.12,46.19,23.12,22.75,53.96
120,1638932,55,21.15,24.27,46.99,24.27,21.15,71.85
121,1639172,55,22.04,23.63,46.54,23.63,22.04,91.79
122,1639412,55,22.22,23.51,46.45,23.51,22.22,11.05
123,1639652,55,21.68,23.89,46.72,23.89,21.68,29.72
124,1639892,55,23.10,22.87,46.01,22.87,23.10,48.88
125,1640132,55,20.44,24.78,47.35,24.78,20.44,57.77
126,1640372,55,22.57,23.25,46.28,23.25,22.57,58.65
127,1640612,55,21.33,24.14,46.90,24.14,21.33,5.47
128,1640852,55,22.57,23.25,46.28,23.25,22.57,23.95
129,1641092,55,22.22,23.51,46.45,23.51,22.22,42.03
130,1641332,55,21.15,24.27,46.99,24.27,21.15,55.62
131,1641572,55,22.75,23.12,46.19,23.12,22.75,82.01
132,1641812,55,20.62,24.65,47.26,24.65,20.62,0.00
133,1642052,55,23.28,22.74,45.92,22.74,23.28,19.65
134,1642292,55,21.33,24.14,46.90,24.14,21.33,27.66
135,1642532,55,22.39,23.38,46.36,23.38,22.39,51.81
136,1642772,55,21.86,23.76,46.63,23.76,21.86,72.53
137,1643012,55,20.79,24.53,47.17,24.53,20.79,94.53
138,1643252,55,23.10,22.87,46.01,22.87,23.10,14.37
139,1643492,55,20.79,24.53,47.17,24.53,20.79,33.63
140,1643732,55,22.75,23.12,46.19,23.12,22.75,52.59
141,1643972,55,20.44,24.78,47.35,24.78,20.44,70.58
142,1644212,55,22.93,23.00,46.10,23.00,22.93,91.30
143,1644452,55,21.33,24.14,46.90,24.14,21.33,10.07
144,1644692,55,22.39,23.38,46.36,23.38,22.39,29.91
145,1644932,55,22.22,23.51,46.45,23.51,22.22,48.97
146,1645172,55,20.79,24.53,47.17,24.53,20.79,65.49
147,1645412,55,22.39,23.38,46.36,23.38,22.39,61.09
148,1645652,55,20.97,24.40,47.08,24.40,20.97,5.18
149,1645892,55,23.28,22.74,45.92,22.74,23.28,26.30
150,1646132,55,21.15,24.27,46.99,24.27,21.15,37.73
151,1646372,55,22.93,23.00,46.10,23.00,22.93,63.44
152,1646612,55,21.33,24.14,46.90,24.14,21.33,57.09
153,1646852,55,22.04,23.63,46.54,23.63,22.04,1.96
154,1647092,55,22.04,23.63,46.54,23.63,22.04,22.19
155,1647332,55,22.39,23.38,46.36,23.38,22.39,41.45
156,1647572,55,21.68,23.89,46.72,23.89,21.68,61.00
157,1647812,55,20.97,24.40,47.08,24.40,20.97,80.25
158,1648052,55,22.93,23.00,46.10,23.00,22.93,0.00
159,1648292,55,21.33,24.14,46.90,24.14,21.33,19.65
160,1648532,55,22.75,23.12,46.19,23.12,22.75,34.12
161,1648772,55,21.15,24.27,46.99,24.27,21.15,56.60
162,1649012,55,23.10,22.87,46.01,22.87,23.10,72.14
163,1649252,55,21.15,24.27,46.99,24.27,21.15,90.71
164,1649492,55,23.10,22.87,46.01,22.87,23.10,14.76
165,1649732,55,21.68,23.89,46.72,23.89,21.68,35.09
166,1649972,55,22.04,23.63,46.54,23.63,22.04,39.20
167,1650212,55,21.68,23.89,46.72,23.89,21.68,59.24
168,1650452,55,21.68,23.89,46.72,23.89,21.68,94.33
169,1650692,55,22.57,23.25,46.28,23.25,22.57,11.73
170,1650932,55,22.04,23.63,46.54,23.63,22.04,32.84
171,1651172,55,22.22,23.51,46.45,23.51,22.22,51.03
172,1651412,55,21.86,23.76,46.63,23.76,21.86,57.09
173,1651652,55,21.86,23.76,46.63,23.76,21.86,91.30
174,1651892,55,21.51,24.02,46.81,24.02,21.51,7.92
175,1652132,55,22.93,23.00,46.10,23.00,22.93,28.54
176,1652372,55,21.86,23.76,46.63,23.76,21.86,46.63
177,1652612,55,21.51,24.02,46.81,24.02,21.51,42.82
178,1652852,55,21.68,23.89,46.72,23.89,21.68,57.67
179,1653092,55,22.75,23.12,46.19,23.12,22.75,5.87
180,1653332,55,21.33,24.14,46.90,24.14,21.33,25.81
181,1653572,55,22.57,23.25,46.28,23.25,22.57,45.36
182,1653812,55,21.68,23.89,46.72,23.89,21.68,56.50
183,1654052,55,22.04,23.63,46.54,23.63,22.04,83.97
184,1654292,55,21.86,23.76,46.63,23.76,21.86,1.17
185,1654532,55,21.86,23.76,46.63,23.76,21.86,20.43
186,1654772,55,22.93,23.00,46.10,23.00,22.93,41.74
187,1655012,55,20.62,24.65,47.26,24.65,20.62,53.27
188,1655252,55,22.75,23.12,46.19,23.12,22.75,54.45
189,1655492,55,21.15,24.27,46.99,24.27,21.15,3.81
190,1655732,55,23.28,22.74,45.92,22.74,23.28,19.16
191,1655972,55,21.33,24.14,46.90,24.14,21.33,37.54
192,1656212,55,22.93,23.00,46.10,23.00,22.93,55.91
193,1656452,55,21.51,24.02,46.81,24.02,21.51,51.12
194,1656692,55,21.86,23.76,46.63,23.76,21.86,67.84
195,1656932,55,22.39,23.38,46.36,23.38,22.39,15.54
196,1657172,55,21.86,23.76,46.63,23.76,21.86,35.48
197,1657412,55,22.75,23.12,46.19,23.12,22.75,39.00
198,1657652,55,20.62,24.65,47.26,24.65,20.62,68.52
199,1657892,55,23.46,22.61,45.83,22.61,23.46,95.31
200,1658132,55,21.15,24.27,46.99,24.27,21.15,14.47
201,1658372,55,23.10,22.87,46.01,22.87,23.10,35.19
202,1658612,55,21.15,24.27,46.99,24.27,21.15,38.51
203,1658852,55,23.10,22.87,46.01,22.87,23.10,70.97
204,1659092,55,21.33,24.14,46.90,24.14,21.33,93.55
205,1659332,55,22.75,23.12,46.19,23.12,22.75,11.93
206,1659572,55,22.22,23.51,46.45,23.51,22.22,31.67
207,1659812,55,21.86,23.76,46.63,23.76,21.86,45.06
208,1660052,55,21.51,24.02,46.81,24.02,21.51,48.48
209,1660292,55,22.22,23.51,46.45,23.51,22.22,90.81
210,1660532,55,22.22,23.51,46.45,23.51,22.22,10.85
211,1660772,55,22.57,23.25,46.28,23.25,22.57,31.48
212,1661012,55,21.68,23.89,46.72,23.89,21.68,50.54
213,1661252,55,22.93,23.00,46.10,23.00,22.93,68.72
214,1661492,55,20.26,24.91,47.44,24.91,20.26,90.13
215,1661732,55,23.28,22.74,45.92,22.74,23.28,9.19
216,1661972,55,21.68,23.89,46.72,23.89,21.68,27.66
217,1662212,55,22.75,23.12,46.19,23.12,22.75,48.09
218,1662452,55,21.86,23.76,46.63,23.76,21.86,68.52
219,1662692,55,21.15,24.27,46.99,24.27,21.15,81.72
220,1662932,55,23.10,22.87,46.01,22.87,23.10,7.82
221,1663172,55,21.68,23.89,46.72,23.89,21.68,27.66
222,1663412,55,22.39,23.38,46.36,23.38,22.39,46.24
223,1663652,55,20.97,24.40,47.08,24.40,20.97,45.36
224,1663892,55,22.75,23.12,46.19,23.12,22.75,61.78
225,1664132,55,21.51,24.02,46.81,24.02,21.51,4.20
226,1664372,55,22.57,23.25,46.28,23.25,22.57,24.24
227,1664612,55,22.39,23.38,46.36,23.38,22.39,44.57
228,1664852,55,22.22,23.51,46.45,23.51,22.22,63.73
229,1665092,55,20.97,24.40,47.08,24.40,20.97,82.60
230,1665332,55,22.75,23.12,46.19,23.12,22.75,1.86
231,1665572,55,21.68,23.89,46.72,23.89,21.68,21.99
232,1665812,55,22.39,23.38,46.36,23.38,22.39,42.23
233,1666052,55,21.68,23.89,46.72,23.89,21.68,60.22
234,1666292,55,22.57,23.25,46.28,23.25,22.57,80.84
235,1666532,55,20.97,24.40,47.08,24.40,20.97,0.00
236,1666772,55,22.75,23.12,46.19,23.12,22.75,20.43
237,1667012,55,22.39,23.38,46.36,23.38,22.39,39.10
238,1667252,55,21.86,23.76,46.63,23.76,21.86,58.16
239,1667492,55,22.39,23.38,46.36,23.38,22.39,79.28
240,1667732,55,20.97,24.40,47.08,24.40,20.97,93.35
241,1667972,55,23.99,22.23,45.56,22.23,23.99,17.69
242,1668212,55,20.26,24.91,47.44,24.91,20.26,36.56
243,1668452,55,23.46,22.61,45.83,22.61,23.46,56.70
244,1668692,55,20.62,24.65,47.26,24.65,20.62,75.76
245,1668932,55,23.28,22.74,45.92,22.74,23.28,97.75
246,1669172,55,21.15,24.27,46.99,24.27,21.15,14.86
247,1669412,55,23.46,22.61,45.83,22.61,23.46,35.97
248,1669652,55,21.51,24.02,46.81,24.02,21.51,37.73
249,1669892,55,21.86,23.76,46.63,23.76,21.86,74.68
250,1670132,55,21.86,23.76,46.63,23.76,21.86,63.34
251,1670372,55,22.39,23.38,46.36,23.38,22.39,13.20
252,1670612,55,22.39,23.38,46.36,23.38,22.39,33.53
253,1670852,55,21.86,23.76,46.63,23.76,21.86,52.79
254,1671092,55,22.04,23.63,46.54,23.63,22.04,72.34
255,1671332,55,22.39,23.38,46.36,23.38,22.39,93.16
256,1671572,55,22.22,23.51,46.45,23.51,22.22,12.32
257,1671812,55,22.04,23.63,46.54,23.63,22.04,31.96
258,1672052,55,22.22,23.51,46.45,23.51,22.22,36.95
259,1672292,55,21.86,23.76,46.63,23.76,21.86,57.28
260,1672532,55,22.22,23.51,46.45,23.51,22.22,93.45
261,1672772,55,21.86,23.76,46.63,23.76,21.86,11.05
262,1673012,55,22.75,23.12,46.19,23.12,22.75,32.16
263,1673252,55,21.68,23.89,46.72,23.89,21.68,52.59
264,1673492,55,22.22,23.51,46.45,23.51,22.22,69.70
265,1673732,55,20.79,24.53,47.17,24.53,20.79,92.77
266,1673972,55,23.46,22.61,45.83,22.61,23.46,11.05
267,1674212,55,21.51,24.02,46.81,24.02,21.51,31.09
268,1674452,55,22.75,23.12,46.19,23.12,22.75,53.37
269,1674692,55,21.51,24.02,46.81,24.02,21.51,67.94
270,1674932,55,22.75,23.12,46.19,23.12,22.75,86.22
271,1675172,55,21.15,24.27,46.99,24.27,21.15,11.05
272,1675412,55,23.28,22.74,45.92,22.74,23.28,32.06
273,1675652,55,21.68,23.89,46.72,23.89,21.68,51.81
274,1675892,55,22.57,23.25,46.28,23.25,22.57,72.43
275,1676132,55,20.97,24.40,47.08,24.40,20.97,88.56
276,1676372,55,23.28,22.74,45.92,22.74,23.28,13.49
277,1676612,55,21.86,23.76,46.63,23.76,21.86,33.33
278,1676852,55,22.57,23.25,46.28,23.25,22.57,37.15
279,1677092,55,21.51,24.02,46.81,24.02,21.51,66.47
280,1677332,55,22.57,23.25,46.28,23.25,22.57,93.94
281,1677572,55,22.57,23.25,46.28,23.25,22.57,13.00
282,1677812,55,22.22,23.51,46.45,23.51,22.22,32.65
283,1678052,55,22.57,23.25,46.28,23.25,22.57,37.63
284,1678292,55,21.15,24.27,46.99,24.27,21.15,49.66
285,1678532,55,22.75,23.12,46.19,23.12,22.75,93.45
286,1678772,55,22.22,23.51,46.45,23.51,22.22,11.83
287,1679012,55,22.93,23.00,46.10,23.00,22.93,33.33
288,1679252,55,21.51,24.02,46.81,24.02,21.51,50.93
289,1679492,55,22.22,23.51,46.45,23.51,22.22,71.36
290,1679732,55,22.57,23.25,46.28,23.25,22.57,94.72
291,1679972,55,21.86,23.76,46.63,23.76,21.86,12.71
292,1680212,55,22.57,23.25,46.28,23.25,22.57,33.14
293,1680452,55,22.22,23.51,46.45,23.51,22.22,50.24
294,1680692,55,22.57,23.25,46.28,23.25,22.57,70.58
295,1680932,55,21.51,24.02,46.81,24.02,21.51,93.26
296,1681172,55,22.75,23.12,46.19,23.12,22.75,11.93
297,1681412,55,22.39,23.38,46.36,23.38,22.39,33.14
298,1681652,55,21.51,24.02,46.81,24.02,21.51,53.18
299,1681892,55,21.86,23.76,46.63,23.76,21.86,48.97
300,1682132,55,22.04,23.63,46.54,23.63,22.04,95.41
301,1682372,55,22.75,23.12,46.19,23.12,22.75,13.00
302,1682612,55,21.86,23.76,46.63,23.76,21.86,32.84
303,1682852,55,22.57,23.25,46.28,23.25,22.57,53.37
